Laser delay,Gate width,Counts
14.4,2.4000000000000004,41314.0
14.4,2.3,38878.0
14.4,2.2,33749.0
14.4,2.0999999999999996,29096.0
14.4,2.0,24641.0
14.4,1.9000000000000004,20493.0
14.4,1.8000000000000007,16825.0
14.4,1.6999999999999993,13542.0
14.4,1.5999999999999996,10454.0
14.4,1.5,8070.0
14.4,1.4000000000000004,6132.0
14.4,1.3000000000000007,4437.0
14.4,1.1999999999999993,2904.0
14.4,1.0999999999999996,1853.0
14.4,1.0,1292.0
14.4,0.9000000000000004,419.0
14.4,0.8000000000000007,-302.0
14.4,0.6999999999999993,-888.0
14.4,0.5999999999999996,-1571.0
14.4,0.5,-1983.0
14.4,0.40000000000000036,-2496.0
14.4,0.3000000000000007,-2831.0
14.4,0.1999999999999993,-3113.0
14.4,0.09999999999999964,-3392.0
14.45,0.0,-3607.0
14.45,-0.09999999999999964,-3936.0
14.45,3.0,113360.0
14.45,2.9000000000000004,98616.0
14.45,2.8,85912.0
14.45,2.7,75336.0
14.45,2.5999999999999996,66119.0
14.45,2.5,55917.0
14.45,2.4000000000000004,47983.0
14.45,2.3,41983.0
14.45,2.2,36340.0
14.45,2.0999999999999996,31302.0
14.45,2.0,26207.0
14.45,1.9000000000000004,22015.0
14.45,1.8000000000000007,18487.0
14.45,1.6999999999999993,14900.0
14.45,1.5999999999999996,11550.0
14.45,1.5,8707.0
14.45,1.4000000000000004,6296.0
14.45,1.3000000000000007,4891.0
14.45,1.1999999999999993,3456.0
14.45,1.0999999999999996,2231.0
14.45,1.0,1534.0
14.45,0.9000000000000004,639.0
14.45,0.8000000000000007,-168.0
14.45,0.6999999999999993,-758.0
14.45,0.5999999999999996,-1233.0
14.45,0.5,-1939.0
14.45,0.40000000000000036,-2415.0
14.45,0.3000000000000007,-2729.0
14.45,0.1999999999999993,-3044.0
14.45,0.09999999999999964,-3364.0
14.5,0.0,-3566.0
14.5,-0.09999999999999964,-3934.0
14.5,3.0,122754.0
14.5,2.9000000000000004,106794.0
14.5,2.8,92700.0
14.5,2.7,81056.0
14.5,2.5999999999999996,70953.0
14.5,2.5,60292.0
14.5,2.4000000000000004,52160.0
14.5,2.3,45020.0
14.5,2.2,39257.0
14.5,2.0999999999999996,33707.0
14.5,2.0,28352.0
14.5,1.9000000000000004,23822.0
14.5,1.8000000000000007,19812.0
14.5,1.6999999999999993,15876.0
14.5,1.5999999999999996,12489.0
14.5,1.5,9456.0
14.5,1.4000000000000004,7102.0
14.5,1.3000000000000007,5433.0
14.5,1.1999999999999993,3903.0
14.5,1.0999999999999996,2634.0
14.5,1.0,1363.0
14.5,0.9000000000000004,638.0
14.5,0.8000000000000007,86.0
14.5,0.6999999999999993,-748.0
14.5,0.5999999999999996,-1068.0
14.5,0.5,-1991.0
14.5,0.40000000000000036,-2271.0
14.5,0.3000000000000007,-2590.0
